Tank_ID,Tank_Number,Capacity,Product_ID,Terminal_ID
1,8490,90791,1,1
2,6589,97412,2,2
3,2997,15055,3,3
4,6776,81171,4,4
5,5000,89853,5,5
6,4713,9473,6,6
7,8105,13421,7,7
8,2452,79800,8,8
9,2282,87224,9,9
10,2188,49339,10,10
11,1277,24918,11,11
12,1840,15573,12,12
13,7106,23224,13,13
14,6110,5571,14,14
15,5718,82092,15,15
16,3431,31253,16,16
17,4921,90729,17,17
18,2124,62951,18,18
19,4494,83576,19,19
20,7126,98985,20,20
21,621,54184,21,21
22,4561,2354,22,22
23,4668,57608,23,23
24,1516,83357,24,24
25,4630,86391,25,25
26,1495,76746,26,26
27,338,83669,27,27
28,9679,85195,28,28
29,4674,19894,29,29
30,9051,5946,30,30
31,8109,18982,31,31
32,7181,54565,32,32
33,4826,81615,33,33
34,8232,35230,34,34
35,7056,8165,35,35
36,148,86393,36,36
37,8044,75208,37,37
38,4086,83693,38,38
39,8133,74999,39,39
40,9628,20414,40,40
41,2727,49345,41,41
42,6081,24711,42,42
43,4180,52583,43,43
44,3232,32166,44,44
45,6998,17178,45,45
46,3727,37436,46,46
47,911,84395,47,47
48,5866,48419,48,48
49,9236,79408,49,49
50,2978,86146,50,50
51,2935,26354,51,51
52,4881,19967,52,52
53,6266,85758,53,53
54,1693,70150,54,54
55,1500,39389,55,55
56,2434,34544,56,56
57,3697,688,57,57
58,5824,77778,58,58
59,3541,87398,59,59
60,3063,22940,60,60
61,7421,51249,61,61
62,1283,42485,62,62
63,5545,60915,63,63
64,8535,4853,64,64
65,6094,31801,65,65
66,6564,18662,66,66
67,788,23334,67,67
68,6990,46569,68,68
69,3284,24919,69,69
70,5754,7522,70,70
71,1815,74834,71,71
72,7009,20569,72,72
73,5448,47852,73,73
74,2572,71637,74,74
75,8315,33936,75,75
76,8146,49220,76,76
77,2994,53486,77,77
78,1728,50559,78,78
79,6576,85530,79,79
80,1134,31669,80,80
81,3472,14636,81,81
82,9253,94395,82,82
83,3981,1459,83,83
84,9257,76210,84,84
85,1517,94201,85,85
86,606,13678,86,86
87,4973,80134,87,87
88,599,19313,88,88
89,951,19660,89,89
90,6707,65386,90,90
91,2622,10248,91,91
92,1967,13086,92,92
93,1091,88155,93,93
94,2372,97415,94,94
95,4406,43230,95,95
96,910,59128,96,96
97,9814,65470,97,97
98,1305,38106,98,98
99,4964,69991,99,99
100,2473,9036,100,100
101,3683,7844,101,101
102,741,30380,102,102
103,5290,8314,103,103
104,1691,28634,104,104
105,1156,41726,105,105
106,6769,44783,106,106
107,6604,48192,107,107
108,7252,88882,108,108
109,2238,11173,109,109
110,226,84023,110,110
111,2107,89821,111,111
112,3440,1342,112,112
113,2153,48454,113,113
114,7871,99438,114,114
115,6000,58658,115,115
116,2243,57204,116,116
117,2251,90829,117,117
118,8553,21923,118,118
119,167,5191,119,119
120,5649,87652,120,120
121,6566,31518,121,121
122,4234,8048,122,122
123,5258,23220,123,123
124,6305,70840,124,124
125,9299,98935,125,125
126,4254,78843,126,126
127,3928,3612,127,127
128,8795,98851,128,128
129,7713,57876,129,129
130,6387,40971,130,130
131,1243,48591,131,131
132,1169,74774,132,132
133,9917,9178,133,133
134,8200,5499,134,134
135,6886,17108,135,135
136,3721,34303,136,136
137,4931,9609,137,137
138,7969,56435,138,138
139,3493,64294,139,139
140,8318,29171,140,140
141,8147,6006,141,141
142,695,55555,142,142
143,7732,43818,143,143
144,751,92674,144,144
145,7546,88607,145,145
146,473,58887,146,146
147,2761,78667,147,147
148,1769,55638,148,148
149,9115,57518,149,149
150,785,42246,150,150
151,4690,47261,151,151
152,2260,20158,152,152
153,6813,3469,153,153
154,4160,59287,154,154
155,5989,38671,155,155
156,677,17272,156,156
157,5761,88570,157,157
158,6500,13017,158,158
159,9989,79464,159,159
160,6379,1398,160,160
161,4940,24158,161,161
162,9347,46743,162,162
163,6855,19377,163,163
164,8548,24323,164,164
165,9530,97190,165,165
166,114,58531,166,166
167,862,64271,167,167
168,3224,79474,168,168
